id;title;company;start_date;end_date
1;Forint;Concrete Global SMS;2019-06-20;2019-06-20
2;Bacon Designer;Equatorial Guinea Vision-oriented;2019-06-20;2019-06-19
3;Virginia THX pink;cross-media;2019-06-19;2019-06-19
4;SCSI drive THX;Unbranded Cheese Dynamic;2019-06-19;2019-06-19
5;transform;invoice Home Gloves;2019-06-19;2019-06-20
6;Ports Manager Fish;Networked;2019-06-20;2019-06-20
7;world-class program alarm;Nevada;2019-06-20;2019-06-20
8;withdrawal Ergonomic;Strategist target;2019-06-19;2019-06-19
9;users dot-com;North Dakota Cambridgeshire;2019-06-20;2019-06-20
10;Bedfordshire Alaska calculate;Chips;2019-06-19;2019-06-20
