id;short_description;long_description;start_date;end_date
1;uniform PCI back up;Tactics architectures Planner;2019-06-19;2019-06-19
2;Incredible functionalities fuchsia;infrastructure;2019-06-20;2019-06-20
3;matrix calculating;Arkansas Intelligent Credit Card Account;2019-06-19;2019-06-20
4;Open-architected;FTP;2019-06-19;2019-06-19
5;Metal array France;redundant;2019-06-19;2019-06-20
6;Personal Loan Account Sleek Beauty;digital deposit;2019-06-19;2019-06-20
7;Unbranded Fresh Pants Tools California;North Dakota Garden;2019-06-20;2019-06-20
8;Specialist generating;Computers Small Fresh Gloves back-end;2019-06-20;2019-06-20
9;synthesizing composite;Investment Account Refined Intelligent Granite Shirt;2019-06-20;2019-06-19
10;Metal Frozen;Buckinghamshire alliance redundant;2019-06-20;2019-06-20
