id;title;date;issuer_entity;short_description
1;Borders Springs connecting;2019-06-20;connecting Planner Refined;engage Granite Grocery
2;bluetooth payment digital;2019-06-19;Checking Account;seamless New York mesh
3;Unbranded array;2019-06-19;Spurs Regional;Home Loan Account
4;CFP Franc back-end Via;2019-06-19;compress Practical Steel Chips;Berkshire concept
5;Illinois robust;2019-06-20;Creek;Shirt Metal
6;Mouse Rupiah;2019-06-20;RSS Buckinghamshire Officer;teal Licensed Wooden Pants
7;e-business;2019-06-20;Brazil;Island cyan
8;Granite open architecture;2019-06-20;Licensed;Credit Card Account Sleek
9;Sausages streamline Home;2019-06-19;Handmade Savings Account Manager;cultivate Bedfordshire
10;navigate Kiribati;2019-06-19;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO);Buckinghamshire Antarctica (the territory South of 60 deg S) Refined
